"subject"	"LAYING"	"SITTING"	"STANDING"	"WALKING"	"WALKING_DOWNSTAIRS"	"WALKING_UPSTAIRS"
"1"	1	-0.26613920575	-0.218017225106383	0.0321774746571429	0.0688589119894737	0.0650047072244898	0.0741663682075472
"2"	2	-0.478928233958333	-0.118224398621739	-0.0678959805833333	-0.0368892833067797	0.0537293985574468	0.165147457953125
"3"	3	-0.346243070483871	-0.0783934904807692	0.00457098377868852	0.117403280068966	0.0932212612040816	0.134293701288136
"4"	4	-0.229790432925926	-0.0563298907436	-0.0951347515892857	-0.0675179863833333	-0.0832015467555555	-0.0368022039115385
"5"	5	-0.168146326730769	-0.0806862754545455	-0.0754509648214286	0.02003381474925	0.00648109544829787	0.0378686889744681
"6"	6	-0.106624418668421	-0.02782276988	0.0121273275736842	-0.00130364271742105	0.0239615746072917	0.0345334914843137
"7"	7	-0.808553756346154	-0.02380785876875	0.0579886623962264	0.135380525087719	0.1316399086	0.312061603254902
"8"	8	-0.601885211481481	-0.169509303978261	0.0905212998148148	0.153861202291667	0.123085450154737	0.160697390356098
"9"	9	-0.873649367	-0.041913115972	0.0154296719333333	0.103849947479269	0.0810164383095238	0.212332932142857
"10"	10	0.105926376896552	-0.121936849888889	-0.00256864090227273	-0.0165720954830189	-0.00811530789386842	0.00579155151340426
"11"	11	-0.0593468643842105	-0.112035600849057	-0.0668709773829787	-0.0716213475762712	-0.0709612617173913	-0.0805376936666667
"12"	12	-0.213235641316667	-0.0422271070156863	0.0491145447693443	0.04684284012	0.0610767198478261	0.0705748215448077
"13"	13	-0.477526561935484	-0.0324103521183673	0.0582448749219298	0.113777056904404	0.0880783817580851	0.1690195284
"14"	14	-0.68876681	0.0892149622222222	0.260358891666667	0.325065094745763	0.303781233333333	0.390444368518519
"15"	15	0.0489176476388889	0.019615626	-0.0231407098028302	-0.0307724957055556	-0.034021550472619	-0.0346700269020833
"16"	16	-0.756497965428571	-0.0411259984489855	0.138687314961538	0.174356318431373	0.180955706382979	0.293497544705882
"17"	17	-0.555002876901408	0.117860678351562	0.164226520641026	0.155074008229508	0.135724922673913	0.23325887375
"18"	18	-0.463402676923077	-0.092884205877193	0.0557066927123288	0.0647930851785714	0.0564579905272727	0.0969887787413793
"19"	19	-0.504427518072289	-0.348064872739726	-0.0690773782876712	0.0847615795576923	0.114011882	0.1793526235
"20"	20	-0.331485784264706	-0.0860447384742424	-0.0275259507709589	0.0462280993401961	0.0414395443846667	0.114237177876471
"21"	21	-0.613696120222222	0.0612901141882353	0.166452878988764	0.176041617115385	0.153317356444444	0.241093136595745
"22"	22	-0.603348695833333	-0.2051951285	-0.000765151707936508	0.0054581015	-0.00753626194444445	0.0891294692238095
"23"	23	-0.781769061527778	-0.0230392130294118	0.180098972514706	0.134716005084746	0.131746438444444	0.277962284705882
"24"	24	-0.505943181111111	-0.0558413695220588	0.0586753424246377	0.120121440172414	0.1200578956	0.181479912372881
"25"	25	-0.416502209109589	-0.0984975363846154	-0.120205382366216	-0.111244249918919	-0.133506944172414	-0.0545542417876923
"26"	26	-0.438577144736842	-0.207419646512821	-0.0398428929606757	-0.054232685440678	-0.0868762146	0.0231785948890909
"27"	27	-0.67651559527027	-0.178206664085714	0.025601368792625	0.110064619157895	0.121082833318182	0.232688028039216
"28"	28	0.050311426875	-0.0763153267916667	0.0484423398708861	0.1093028185	0.106981081586957	0.209000813137255
"29"	29	-0.423473279130435	-0.181737384166667	-0.000327698463076923	-0.0450589469735849	-0.0434252902375	-0.00950628416938775
"30"	30	-0.507019938285714	-0.227534606129032	0.00469988878042373	0.0244499703709231	0.00139127310645161	0.0373906500215385
